SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,12345 Donahue Pl,El Monte,CA,91732,190000,3,2.0,,1255,6488,1961,,151,,,,,http://www.redfin.com/CA/El-Monte/12345-Donahue-Pl-91732/home/7983901,,,N,Y,34.0860667,-118.000353
PAST SALE,,Single Family Residential,5009 La Madera Ave,El Monte,CA,91732,148000,2,1.0,,906,6507,1960,,163,,,,,http://www.redfin.com/CA/El-Monte/5009-La-Madera-Ave-91732/home/7985229,,,N,Y,34.0917073,-118.0081766
PAST SALE,,Single Family Residential,4947 Cogswell Rd,El Monte,CA,91732,166000,2,1.0,,1172,9992,1949,,142,,,,,http://www.redfin.com/CA/El-Monte/4947-Cogswell-Rd-91732/home/7985256,,,N,Y,34.0908586,-118.0053332
PAST SALE,August-26-2014,Single Family Residential,4832 Cogswell Rd,El Monte,CA,91732,438000,3,1.75,619 - El Monte,1040,4992,1937,1069,421,,Sold,,,http://www.redfin.com/CA/El-Monte/4832-Cogswell-Rd-91732/home/7985402,CRMLS,TR14076924,N,Y,34.0887816,-118.0057373
PAST SALE,,Single Family Residential,4753 La Madera Ave,El Monte,CA,91732,170000,2,1.0,,785,6686,1949,,217,,,,,http://www.redfin.com/CA/El-Monte/4753-La-Madera-Ave-91732/home/7985584,,,N,Y,34.0885451,-118.0093932
PAST SALE,,Single Family Residential,4741 Helmgate Dr,El Monte,CA,91732,200000,3,2.0,,1444,5029,1965,,139,,,,,http://www.redfin.com/CA/El-Monte/4741-Helmgate-Dr-91732/home/7985606,,,N,Y,34.0887261,-118.010323
PAST SALE,,Single Family Residential,11761 Ranchito St,El Monte,CA,91732,50000,2,1.0,,1329,5365,1936,,38,,,,,http://www.redfin.com/CA/El-Monte/11761-Ranchito-St-91732/home/7985611,,,N,Y,34.0877425,-118.0108458
PAST SALE,,Single Family Residential,4744 La Madera Ave,El Monte,CA,91732,320000,3,1.0,,1395,10870,1953,,229,,,,,http://www.redfin.com/CA/El-Monte/4744-La-Madera-Ave-91732/home/7985638,,,N,Y,34.0881482,-118.0091833
PAST SALE,,Single Family Residential,5213 La Madera Ave,El Monte,CA,91732,150000,3,2.0,,1168,7268,1961,,128,,,,,http://www.redfin.com/CA/El-Monte/5213-La-Madera-Ave-91732/home/7980257,,,N,Y,34.0952315,-118.0062204
PAST SALE,,Single Family Residential,12013 Conference St,El Monte,CA,91732,260000,3,2.0,,1640,13609,1948,,159,,,,,http://www.redfin.com/CA/El-Monte/12013-Conference-St-91732/home/7980452,,,N,Y,34.0986961,-118.000272
PAST SALE,,Single Family Residential,12048 Conference St,El Monte,CA,91732,130000,3,3.0,,1608,15109,1947,,81,,,,,http://www.redfin.com/CA/El-Monte/12048-Conference-St-91732/home/7980468,,,N,Y,34.0976969,-117.9994752
PAST SALE,,Single Family Residential,12159 Cherrylee Dr,El Monte,CA,91732,1000000,2,1.0,,1351,73419,1952,,740,,,,,http://www.redfin.com/CA/El-Monte/12159-Cherrylee-Dr-91732/home/7980523,,,N,Y,34.0917462,-118.0009563
PAST SALE,,Single Family Residential,12010 Rio Hondo Pkwy,El Monte,CA,91732,428055,3,1.0,,1132,11677,1950,,378,,,,,http://www.redfin.com/CA/El-Monte/12010-Rio-Hondo-Pkwy-91732/home/7980554,,,N,Y,34.0970244,-118.0013902
PAST SALE,July-31-2015,Single Family Residential,12012 Celine St,El Monte,CA,91732,400000,3,1.75,619 - El Monte,1422,6266,1937,730,281,,Sold,,,http://www.redfin.com/CA/El-Monte/12012-Celine-St-91732/home/7980648,CRMLS,PW15081171,N,Y,34.0949004,-118.0026175
PAST SALE,,Single Family Residential,12009 Ranchito St,El Monte,CA,91732,90000,2,1.0,,786,4955,1953,,115,,,,,http://www.redfin.com/CA/El-Monte/12009-Ranchito-St-91732/home/7983180,,,N,Y,34.0862903,-118.0069513
PAST SALE,December-5-2014,Single Family Residential,5039 La Madera Ave,El Monte,CA,91732,420000,3,1.0,619 - El Monte,1422,6262,1954,968,295,,Sold,,,http://www.redfin.com/CA/El-Monte/5039-La-Madera-Ave-91732/home/7985206,CRMLS,AR14217041,N,Y,34.0923481,-118.0070616
PAST SALE,,Single Family Residential,4923 La Madera Ave,El Monte,CA,91732,69000,3,2.0,,1201,6612,1958,,57,,,,,http://www.redfin.com/CA/El-Monte/4923-La-Madera-Ave-91732/home/7985210,,,N,Y,34.0909903,-118.0077035
PAST SALE,,Single Family Residential,11910 The Wye St,El Monte,CA,91732,161000,3,2.0,,1389,5087,1959,,116,,,,,http://www.redfin.com/CA/El-Monte/11910-The-Wye-St-91732/home/7985269,,,N,Y,34.0920758,-118.006484
PAST SALE,,Single Family Residential,12148 Cherrylee Dr,El Monte,CA,91732,235000,3,2.0,,1413,12190,1953,,166,,,,,http://www.redfin.com/CA/El-Monte/12148-Cherrylee-Dr-91732/home/7985301,,,N,Y,34.0911115,-118.0012745
PAST SALE,,Single Family Residential,12006 Cherrylee Dr,El Monte,CA,91732,112000,2,1.0,,1120,31753,1935,,100,,,,,http://www.redfin.com/CA/El-Monte/12006-Cherrylee-Dr-91732/home/7985310,,,N,Y,34.0921225,-118.0041418
PAST SALE,July-24-2009,Single Family Residential,11639 Mulhall St,El Monte,CA,91732,275000,3,1.5,619 - El Monte,1289,5872,1961,2928,213,,Sold,,,http://www.redfin.com/CA/El-Monte/11639-Mulhall-St-91732/home/7985854,CRMLS,C09001216,N,Y,34.0879246,-118.0144864
PAST SALE,January-12-2006,Single Family Residential,5037 PECK Rd,El Monte,CA,91732,488000,3,,619 - El Monte,1725,1773,1991,4217,283,80,Sold,,,http://www.redfin.com/CA/El-Monte/5037-Peck-Rd-91732/home/7979783,CRMLS,A506885,N,Y,34.0948232,-118.0133266
PAST SALE,August-6-2015,Single Family Residential,11542 Embree Dr,El Monte,CA,91732,460000,2,1.75,619 - El Monte,1661,8272,1953,724,277,,Sold,,,http://www.redfin.com/CA/El-Monte/11542-Embree-Dr-91732/home/7979846,CRMLS,WS15122983,N,Y,34.0975556,-118.0131321
PAST SALE,March-28-2012,Single Family Residential,11842 Roseglen St,El Monte,CA,91732,268000,2,1.0,619 - El Monte,1322,5275,1953,1950,203,,Sold,,,http://www.redfin.com/CA/El-Monte/11842-Roseglen-St-91732/home/7985466,CRMLS,H11163611,N,Y,34.090217,-118.008365
PAST SALE,April-9-2002,Single Family Residential,12308 KIMBERLY Cir,El Monte,CA,91732,225000,3,,619 - El Monte,1353,5860,1984,5591,166,,Sold,,,http://www.redfin.com/CA/El-Monte/12308-Kimberly-Cir-91732/home/7983978,CRMLS,A213504,N,Y,34.0875459,-118.0008458
PAST SALE,May-29-2003,Single Family Residential,5315 LA MADERA Ave,El Monte,CA,91732,265000,3,,619 - El Monte,1122,7896,1961,5176,236,,Sold,,,http://www.redfin.com/CA/El-Monte/5315-La-Madera-Ave-91732/home/7980227,CRMLS,W302021,N,Y,34.0966121,-118.0053353
PAST SALE,December-10-2003,Single Family Residential,11931 CHERRYLEE Dr,El Monte,CA,91732,376000,3,,619 - El Monte,1758,5993,1972,4981,214,,Sold,,,http://www.redfin.com/CA/El-Monte/11931-Cherrylee-Dr-91732/home/7980349,CRMLS,C312274,N,Y,34.0934544,-118.0049293
PAST SALE,November-1-2002,Single Family Residential,12309 KIMBERLY Cir,El Monte,CA,91732,238000,3,,619 - El Monte,1300,5758,1984,5385,183,,Sold,,,http://www.redfin.com/CA/El-Monte/12309-Kimberly-Cir-91732/home/7983976,CRMLS,A217180,N,Y,34.0878043,-118.000691
PAST SALE,,Single Family Residential,11585 Cherrylee Dr,El Monte,CA,91732,280000,3,2.0,,1169,5176,1961,,240,,,,,http://www.redfin.com/CA/El-Monte/11585-Cherrylee-Dr-91732/home/7979791,,,N,Y,34.0956641,-118.0127153
PAST SALE,,Single Family Residential,11557 Hemlock St,El Monte,CA,91732,181000,3,1.0,,1622,9177,1948,,112,,,,,http://www.redfin.com/CA/El-Monte/11557-Hemlock-St-91732/home/7979857,,,N,Y,34.0970874,-118.0122954
PAST SALE,,Single Family Residential,11595 Embree Dr,El Monte,CA,91732,225000,3,2.0,,1404,7000,1954,,160,,,,,http://www.redfin.com/CA/El-Monte/11595-Embree-Dr-91732/home/7979881,,,N,Y,34.0978112,-118.0116287
PAST SALE,November-19-2009,Single Family Residential,11627 Rio Hondo Pkwy,El Monte,CA,91732,265000,2,1.0,619 - El Monte,828,7139,1945,2810,320,,Sold,,,http://www.redfin.com/CA/El-Monte/11627-Rio-Hondo-Pkwy-91732/home/7979960,CRMLS,W09052433,N,Y,34.0993881,-118.0092372
PAST SALE,,Single Family Residential,5341 Hammill Rd,El Monte,CA,91732,190000,3,2.0,,1588,6752,1960,,120,,,,,http://www.redfin.com/CA/El-Monte/5341-Hammill-Rd-91732/home/7979993,,,N,Y,34.0984983,-118.0087533
PAST SALE,,Single Family Residential,11623 Cherrylee Dr,El Monte,CA,91732,75000,1,1.0,,742,5016,1946,,101,,,,,http://www.redfin.com/CA/El-Monte/11623-Cherrylee-Dr-91732/home/7980087,,,N,Y,34.095178,-118.0114672
